Time,Angle
1716894003.2460585,-38.27698194902495
1716894003.2510042,-38.243788903543994
1716894003.2611501,-38.19048281143811
1716894003.2651484,-38.16201912355905
1716894003.2717605,-38.11318381004643
1716894003.280075,-38.04520687480823
1716894003.284782,-37.9592482027819
1716894003.2932882,-37.899687728425185
1716894003.2979333,-37.821685345377446
1716894003.308921,-37.72635990873686
1716894003.3138762,-37.61476641776808
1716894003.322369,-37.530754316820456
1716894003.3271246,-37.47292344556812
1716894003.3271246,-37.39666663888063
1716894003.3418598,-37.34616703985331
1716894003.347547,-37.276840666433884
1716894003.3560555,-37.18982473423595
1716894003.3598814,-37.086191685628265
1716894003.3657854,-36.96695281367541
1716894003.3717892,-36.83306168414221
1716894003.3778489,-36.72766274936476
1716894003.387469,-36.64929850659008
1716894003.3941772,-36.55394686304414
1716894003.3975925,-36.485080573814294
1716894003.4036007,-36.441354295177106
1716894003.413406,-36.421498753659705
1716894003.4197176,-36.42431666934041
1716894003.4254007,-36.40539266367793
1716894003.4305973,-36.36602333867041
1716894003.4407322,-36.3502865335063
1716894003.4467192,-36.313930148092325
1716894003.4527662,-36.25818682443637
1716894003.457866,-36.18421929627411
1716894003.4677317,-36.09312428997538
1716894003.471899,-35.98593620858873
1716894003.4800775,-35.90568237318138
1716894003.4837868,-35.80874271930817
1716894003.4837868,-35.69612521431393
1716894003.4996936,-35.5687804953574
1716894003.5052998,-35.42760506945639
1716894003.5154471,-35.27344433572386
1716894003.5154471,-35.148416478584856
1716894003.5239162,-35.00952044178116
1716894003.5307066,-34.85760164203299
1716894003.540895,-34.69345729891304
1716894003.546509,-34.51783912503927
1716894003.553039,-34.33145586689191
1716894003.55695,-34.13497570453941
1716894003.5676115,-33.9290285180981
1716894003.5713289,-33.75455115863651
1716894003.5795214,-33.56940376705055
1716894003.5890577,-33.41458896914032
1716894003.5941198,-33.2480290842735
1716894003.600235,-33.07044238678016
1716894003.610242,-32.88250620331286
1716894003.6133294,-32.72490454892066
1716894003.620771,-32.55586072197234
1716894003.6289756,-32.4161184803965
1716894003.6289756,-32.26395759898043
1716894003.646505,-32.140175224216364
1716894003.6508186,-32.003101600418994
1716894003.6609678,-31.853536229817877
1716894003.6643207,-31.732134655458374
1716894003.6743321,-31.597384461579416
1716894003.679149,-31.450086695390215
1716894003.69004,-31.290997054515124
1716894003.69004,-31.120828404575516
1716894003.7041845,-30.940253157667424
1716894003.7114208,-30.74990551940795
1716894003.7147038,-30.550383611800047
1716894003.7257707,-30.34225147876542
1716894003.729967,-30.165018144608435
1716894003.738446,-29.977955952417464
1716894003.7466748,-29.820640555500503
1716894003.7530744,-29.65240728299329
1716894003.7616067,-29.473914166684274
1716894003.7699637,-29.285781946439005
1716894003.7726154,-29.088596138333802
1716894003.7845397,-28.882908988658595
1716894003.790264,-28.669241320074395
1716894003.7978258,-28.448084275864684
1716894003.8017344,-28.21990096789313
1716894003.8017344,-28.023311705299427
1716894003.8184845,-27.856642705392076
1716894003.820448,-27.679914667413716
1716894003.83,-27.493731200081836
1716894003.8353932,-27.298661755965366
1716894003.8414001,-27.09524352247146
1716894003.8510876,-26.921961478914373
1716894003.8570693,-26.777219267237214
1716894003.8635924,-26.621325269097152
1716894003.8716123,-26.493020407666993
1716894003.875067,-26.39084871579827
1716894003.8807724,-26.313434985373924
1716894003.8919518,-26.25948037613403
1716894003.8981016,-26.18924923829143
1716894003.903146,-26.103686301266386
1716894003.9075892,-26.003683463138504
1716894003.9075892,-25.92826637528423
1716894003.9227812,-25.87614443507306
1716894003.9305093,-25.846098781908214
1716894003.9361165,-25.79846937276012
1716894003.94148,-25.73427240999077
1716894003.950986,-25.654467356822856
1716894003.9544632,-25.598143735637045
1716894003.9604254,-25.525781547386853
1716894003.9669294,-25.438310179129292
1716894003.9735842,-25.336607073263064
1716894003.9829683,-25.259478860578504
1716894003.9866002,-25.16755339600169
1716894003.9932456,-25.099668229939578
1716894003.9999597,-25.016480446398088
1716894004.0075555,-24.91887695646839
1716894004.015591,-24.845573975178457
1716894004.0197732,-24.7573148337844
1716894004.0302775,-24.654966415092627
1716894004.0330834,-24.53934714038929
1716894004.0415697,-24.411229639499556
1716894004.0462074,-24.271343274165737
1716894004.05444,-24.15787894303033
1716894004.0621443,-24.03184458220321
1716894004.0661013,-23.893972473971772
1716894004.0726857,-23.744953876011436
1716894004.0792546,-23.585441282205295
1716894004.0870469,-23.416050559257247
1716894004.0950732,-23.237362965911554
1716894004.100309,-23.04992706121819
1716894004.1111138,-22.85426050793034
1716894004.1163414,-22.687770813562988
1716894004.125098,-22.511905231989697
1716894004.1271577,-22.327214850119557
1716894004.133757,-22.17106274437302
1716894004.1427367,-22.005007999745413
1716894004.14819,-21.829629629241968
1716894004.1573207,-21.6454741280849
1716894004.166186,-21.453057265213385
1716894004.1732247,-21.252865776386137
1716894004.1756954,-21.04535896428141
1716894004.1829765,-20.867458468850238
1716894004.1900222,-20.681023885222896
1716894004.1977546,-20.48655523143115
1716894004.207416,-20.32094661526662
1716894004.21305,-20.14616526463097
1716894004.2182252,-19.962745319153278
1716894004.2236485,-19.771190929227306
1716894004.23143,-19.57197790679303
1716894004.2393582,-19.36555528549468
1716894004.2438142,-19.152346795181472
1716894004.2532344,-18.932752255445195
1716894004.2567866,-18.743207365060123
1716894004.2633438,-18.545982612772214
1716894004.270092,-18.3415259644064
1716894004.2778518,-18.13026016952456
1716894004.2842422,-17.948533236283513
1716894004.2913249,-17.758754404401685
1716894004.2987907,-17.561390542699524
1716894004.3039856,-17.392778821905218
1716894004.309399,-17.251373841961335
1716894004.3164234,-17.09971235179843
1716894004.3257065,-16.938381757855133
1716894004.3322518,-16.80383317805729
1716894004.3360097,-16.694628929457277
1716894004.3465185,-16.573407588639018
1716894004.3501544,-16.47680190932484
1716894004.355918,-16.367490308272874
1716894004.3639734,-16.282143201109445
1716894004.3639734,-16.18347460732388
1716894004.3796148,-16.072239511607165
1716894004.3825696,-15.985047447760065
1716894004.3825696,-15.920610487287414
1716894004.3972008,-15.877711834025156
1716894004.4041371,-15.855201944038539
1716894004.4106407,-15.815879517123742
1716894004.4161365,-15.760691850101718
1716894004.426298,-15.726536783156272
1716894004.426298,-15.676233949571875
